1.77193s 1 1.77193 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 50920 ssthresh 65535
1.78593s 1 1.78593 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 51456 ssthresh 65535
1.78593s 1 1.78593 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 51992 ssthresh 65535
1.79993s 1 1.79993 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 52528 ssthresh 65535
1.79993s 1 1.79993 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 53064 ssthresh 65535
1.81393s 1 1.81393 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 53600 ssthresh 65535
1.81393s 1 1.81393 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 54136 ssthresh 65535
1.82693s 1 1.82693 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 54672 ssthresh 65535
1.82693s 1 1.82693 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 55208 ssthresh 65535
1.84093s 1 1.84093 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 55744 ssthresh 65535
1.84093s 1 1.84093 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 56280 ssthresh 65535
1.85493s 1 1.85493 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 56816 ssthresh 65535
1.85493s 1 1.85493 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 57352 ssthresh 65535
1.85493s 1 1.85493 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 57888 ssthresh 65535
